Parcel ID,Address,Use Code,Square Footage,Stories,Year Built,OccType,Exterior Walls,Roof Cover,Interior Walls,Frame Type,Floor Cover,Unit No.,Floor,Living Area,Number of Bedrooms,Number of Bathrooms,Condo Bldg,Permit Number,Disaster Permit,Disaster Permit Type,Disaster Permit Description,Latitude,Longitude,HAZUS Roof Damage Category,Max Roof Cover Damage,Min Roof Cover Damage
04338-010-000,708  HWY 98    MEXICO BEACH 32410,OFFICE BLD (001700),832.0,1.0,1957.0,OFFICE LOW,CONC BLOCK,ENG SHINGL,PLASTER,MASONARY,CARPET,,,,,,,"['19MB-CB0006', '19MB-CR0013', '9506749', '922552']",False,,,29.936258000000002,-85.401155,[0],0.0,0.0
04338-012-000,710  HWY 98    MEXICO BEACH 32410,OFFICE BLD (001700),2492.0,1.5,1994.0,OFFICE LOW,VINYL,STAND SEAM,DRYWALL,WOOD FRAME,HARDWOOD,,,,,,,"['19MB-CR0002', '18-0005', '9309805']",False,,,30.265946000000003,-85.97359300000001,[0],0.0,0.0
36075-010-000,23030  PANAMA CITY BEACH PKWY   PANAMA CITY BEACH 32413,SUPERMARKE (001400),56146.0,1.0,2004.0,SHOP NBHD,CB STUCCO,BUILT-UP,DRYWALL,MASONARY,SHT VINYL,,,,,,,"['CB20-00161', '17-0135', '14-0019', '13-0202', '13-0181', '11-0035', 'B07-1521']",False,,,30.265231,-85.974389,[0],0.0,0.0
36075-030-000,23046  PC BCH PKWY   PANAMA CITY BEACH 32413,FINANCIAL (002300),5584.0,1.0,2007.0,BRNCH BANK,WD FR STUC; CONC BLOCK,STAND SEAM,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,,,False,,,30.262427000000002,-85.974252,[0],0.0,0.0
36076-021-010,23100  FRONT BEACH RD   PANAMA CITY BEACH 32413,RESTAURANT (002100),11619.0,1.0,2000.0,RESTAURANT,CEDAR,MODULAR MT,DRYWALL,WOOD FRAME,HARDWOOD; HARDTILE,,,,,,,['1969'],False,,,30.263946999999998,-85.97435300000001,[0],0.0,0.0
36076-022-010,23208  FRONT BEACH RD   PANAMA CITY BEACH 32413,"STORES, 1 (001100)",13010.0,1.0,2010.0,STORE RETL,CONC BLOCK,MODULAR MT,DRYWALL,MASONARY,CARPET,,,,,,,,False,,,30.263862,-85.97278100000001,[0],0.0,0.0
36076-022-020,22913  PANAMA CITY BEACH PKWY   PANAMA CITY BEACH 32413,RESTAURANT (002100),1952.0,1.0,2012.0,RESTAURANT,FACE BRICK; GLASS THRM,MODULAR MT,DECORATIVE,MASONARY,HARDTILE,,,,,,,['11-0532'],False,,,30.263741999999997,-85.973303,[0],0.0,0.0
36076-022-030,22917  PANAMA CITY BEACH PKWY   PANAMA CITY BEACH 32413,"STORES, 1 (001100)",7680.0,1.0,2014.0,NBHD CONVE,COMMON BRK,MODULAR MT,DRYWALL,WOOD FRAME,VINYL PLNK,,,,,,,['13-0269'],False,,,30.263088,-85.973217,[0],0.0,0.0
36076-023-000,23200  FRONT BEACH RD   PANAMA CITY BEACH 32413,SUPERMARKE (001400),58594.0,1.0,1994.0,SUPER MRKT,CB STUCCO,BUILT-UP; STAND SEAM,DRYWALL,MASONARY,ASPH TILE,,,,,,,"['08-0372', '401439', '1740', '9311531']",False,,,30.263659000000004,-85.972031,[0],0.0,0.0
36076-026-000,22901  PC BCH PKWY   PANAMA CITY BEACH 32413,PROFESSION (001900),3418.0,1.0,1996.0,OFFICE MED,WD FR STUC,STAND SEAM,DRYWALL,WOOD FRAME,CARPET; CLAY TILE,,,,,,,"['13-0022', '12-0064', '09-0173', '09-0033']",False,,,30.263741999999997,-85.97245799999999,[0],0.0,0.0
36076-026-010,22909  PC BCH PKWY   PANAMA CITY BEACH 32413,DRIVE-IN R (002200),2248.0,1.0,2015.0,RES F/FOOD,ABOVE AVE,MODULAR MT,DRYWALL,WOOD FRAME,CLAY TILE,,,,,,,"['15-1225', '15-0079']",False,,,30.261315000000003,-85.95836700000001,[0],0.0,0.0
35357-000-000,21901  PC BCH PKWY   PANAMA CITY BEACH 32413,OFFICE BLD (001700),7440.0,1.0,2007.0,EXCEP OFFC,ABOVE AVE,ENG SHINGL,DRYWALL,MASONARY,CLAY TILE; CARPET,,,,,,,"['13-0191', 'B06-2309', 'B06-2380']",False,,,30.262987,-85.96051800000001,[0],0.0,0.0
35357-005-000,22050  PC BCH PKWY   PANAMA CITY BEACH 32413,WAREHOUSE- (004800),20715.0,1.0,2016.0,WAREH DIST,PREFIN MET,MOD METAL,MINIMUM,FIREPROOF,CONC FINSH,,,,,,,['16-0013'],False,,,30.262166999999998,-85.958089,[0],0.0,0.0
35357-010-000,21907  PC BCH PKWY   PANAMA CITY BEACH 32413,UTILITIES (009100),240.0,1.0,1981.0,EXCEP COMM,PREFIN MTL,STAND SEAM,MINIMUM,WOOD FRAME,CONC FINSH,,,,,,,,False,,,30.262166999999998,-85.958089,[0],0.0,0.0
35357-026-000,21929  PC BCH PKWY   PANAMA CITY BEACH 32413,REPAIR SER (002500),10260.0,1.0,2019.0,SERV SHOP,PREFIN MET,MOD METAL,MINIMUM,STEEL,CONC FINSH,,,,,,,['CB18-0150'],False,,,30.262166999999998,-85.958089,[0],0.0,0.0
35357-027-000,21949  PC BCH PKWY   PANAMA CITY BEACH 32413,"STORES, 1 (001100)",9400.0,1.0,2015.0,STORE RETL,AVERAGE,MODULAR MT,DRYWALL,STEEL,CONC FINSH,,,,,,,,False,,,30.255156,-85.95840799999999,[0],0.0,0.0
35367-000-000,21906  FRONT BEACH RD   PANAMA CITY BEACH 32413,STORE/OFFI (001200),1888.0,1.0,1976.0,SFR AVERG,COMMON BRK,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,,,,,,,"['RF900', '9512581', '9506386', '931038']",False,,,30.255156,-85.95840799999999,[0],0.0,0.0
35367-000-000,21906  FRONT BEACH RD   PANAMA CITY BEACH 32413,STORE/OFFI (001200),320.0,1.0,1990.0,SFR AVERG,CONC BLOCK,COMP SHNGL,DRYWALL,,SHT VINYL; CARPET,,,,,,,"['RF900', '9512581', '9506386', '931038']",False,,,30.254457000000002,-85.958569,[0],0.0,0.0
35368-000-000,21905  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),36959.0,3.0,1973.0,MOTEL LOW,C B STUCCO,POLY TPO,PLYWOOD; DRYWALL,REINF CONC,SHT VINYL; CARPET,,,,,,,"['18-0001', '17-0018', '15-1403', '15-0191', '15-0226', '14-0232', '14-0035', '13-0020', 'SP135', '99-01244', '9710643', '9511973', '9511973', '9509917']",False,,,30.254457000000002,-85.958569,[0],0.0,0.0
35368-000-000,21905  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),21715.0,2.0,1988.0,MOTEL LOW,C B STUCCO,POLY TPO,PLASTER,MASONARY,CLAY TILE; CARPET,,,,,,,"['18-0001', '17-0018', '15-1403', '15-0191', '15-0226', '14-0232', '14-0035', '13-0020', 'SP135', '99-01244', '9710643', '9511973', '9511973', '9509917']",False,,,30.254457000000002,-85.958569,[0],0.0,0.0
35368-000-000,21905  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),42505.0,5.0,1988.0,MOTEL LOW,C B STUCCO,POLY TPO,PLASTER,MASONARY,CLAY TILE; CARPET,,,,,,,"['18-0001', '17-0018', '15-1403', '15-0191', '15-0226', '14-0232', '14-0035', '13-0020', 'SP135', '99-01244', '9710643', '9511973', '9511973', '9509917']",False,,,30.254457000000002,-85.958569,[0],0.0,0.0
35368-000-000,21905  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),5294.0,2.0,1989.0,RESTAURANT,CONC BLOCK,CONC TILE,DRYWALL,MASONARY,PINE WOOD; CARPET,,,,,,,"['18-0001', '17-0018', '15-1403', '15-0191', '15-0226', '14-0232', '14-0035', '13-0020', 'SP135', '99-01244', '9710643', '9511973', '9511973', '9509917']",False,,,30.262345,-85.965862,[0],0.0,0.0
36459-920-020,22431  PC BCH PKWY   PANAMA CITY BEACH 32413,CAR WASH (003150),6122.0,1.0,2009.0,CAR WASH,CONC BLOCK,STAND SEAM,MINIMUM,MASONARY,CONC FINSH,,,,,,,"['08-1439', '08-1046', '08-1122']",False,,,30.247159999999997,-85.941819,[0],0.0,0.0
36565-000-000,20723  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),21450.0,5.0,1978.0,MOTEL LOW,C B STUCCO,STAND SEAM,PLYWOOD; DRYWALL,MASONARY,SHT VINYL; CARPET,,,,,,,"['DIS19-12835', 'DIS19-12755', '16-0058', '07-1585', '9604574', '9602969', '9602967', '9514057', '9514057', '9513429', '9513429', '9511602', '9511602', '9510731', '9510747']",True,"['ROOF', 'ROOF']","['COMM REROOF - EAST BLDG', 'COMM  REROOF - WEST BLDG']",30.247192,-85.942009,[1],15.0,2.0
36566-000-000,20709  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),1380.0,1.0,1997.0,OFFICE LOW,CB STUCCO,STAND SEAM,DRYWALL,MASONARY,HARDTILE,,,,,,,,False,,,30.247192,-85.942009,[0],0.0,0.0
36566-000-000,20709  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),28650.0,5.0,1997.0,MOTEL LOW,C B STUCCO,STAND SEAM,DRYWALL,MASONARY,CARPET,,,,,,,,False,,,30.251528000000004,-85.934428,[0],0.0,0.0
36568-010-000,20512  PANAMA CITY BEACH PKWY   PANAMA CITY BEACH 32413,WAREHOUSE- (004800),2562.0,1.0,1979.0,GARAGE,PREFIN MET,MOD METAL,NONE; MINIMUM,STEEL,CONC FINSH,,,,,,,,False,,,30.247553999999997,-85.94168,[0],0.0,0.0
36568-035-000,20708  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),5504.0,2.0,1987.0,MOTEL LOW,WD FR STUC,MODULAR MT,DRYWALL,WOOD FRAME,SHT VINYL; CARPET,,,,,,,['9514196'],False,,,30.247553999999997,-85.94168,[0],0.0,0.0
36568-035-000,20708  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),800.0,1.0,1996.0,MOTEL LOW,WD FR STUC,STAND SEAM,MINIMUM,WOOD FRAME,CONC FINSHA,,,,,,,['9514196'],False,,,30.247727,-85.94198100000001,[0],0.0,0.0
36570-000-000,20800  FRONT BEACH RD   PANAMA CITY BEACH 32413,STORE/OFFI (001200),2584.0,1.0,1983.0,MOTEL LOW,C B STUCCO,MODULAR MT,DRYWALL,MASONARY,CARPET,,,,,,,"['17-0053', '9510270']",False,,,30.247727,-85.94198100000001,[0],0.0,0.0
36570-000-000,20800  FRONT BEACH RD   PANAMA CITY BEACH 32413,STORE/OFFI (001200),1776.0,2.0,1983.0,SFR AVERG,WD FR STUC,MODULAR MT,DRYWALL,,SHT VINYL; CARPET,,,,,,,"['17-0053', '9510270']",False,,,30.24281,-85.928719,[0],0.0,0.0
36576-010-000,128  LAKE PL   PANAMA CITY BEACH 32413,HOTELS AND (003900),1550.0,1.0,1955.0,MOTEL LOW,CB STUCCO,COMP SHNGL,MINIMUM,MASONARY,VINYL ASB; CARPET,,,,,,,"['9310626', '9508638', '9510836']",False,,,30.24281,-85.928719,[0],0.0,0.0
36576-010-000,128  LAKE PL   PANAMA CITY BEACH 32413,HOTELS AND (003900),4581.0,2.0,1962.0,MOTEL LOW,CB STUCCO,COMP SHNGL,PLYWOOD,MASONARY,TERRAZZO; CARPET,,,,,,,"['9310626', '9508638', '9510836']",False,,,30.24281,-85.928719,[0],0.0,0.0
36576-010-000,128  LAKE PL   PANAMA CITY BEACH 32413,HOTELS AND (003900),4071.0,2.0,1953.0,MOTEL LOW,CB STUCCO,COMP SHNGL,PLYWOOD; DRYWALL,MASONARY,SHT VINYL; CARPET,,,,,,,"['9310626', '9508638', '9510836']",False,,,30.243299,-85.93195300000001,[0],0.0,0.0
36579-000-000,19978  FRONT BEACH RD   PANAMA CITY BEACH 32413,STORE/OFFI (001200),5292.0,1.0,1963.0,RESTAURANT,AVERAGE; CB STUCCO,ENG SHINGL,PLYWOOD; DRYWALL,MASONARY,SHT VINYL; CARPET,,,,,,,,False,,,30.256092,-85.941793,[0],0.0,0.0
35291-040-000,20800  PC BCH PKWY   PANAMA CITY BEACH 32413,COUNTY (008600),10206.0,1.0,2011.0,GOVT BLDG,CONC BLOCK,STAND SEAM,MINIMUM,MASONARY,CONC FINSH,,,,,,,,False,,,30.253932,-85.93725500000001,[0],0.0,0.0
35293-027-000,702  AVENUE C    PANAMA CITY BEACH 32413,WAREHOUSE- (004800),2400.0,1.0,2003.0,WAREH MINI,PREFIN MET,MOD METAL,NONE,STEEL,CONC FINSH,,,,,,,['B689'],False,,,30.252736,-85.938779,[0],0.0,0.0
35337-000-000,20679  PC BCH PKWY   PANAMA CITY BEACH 32413,LIGHT MANU (004100),6370.0,1.5,2018.0,MANUF LGHT,PREFIN MET,MOD METAL,NONE; DRYWALL,STEEL,CONC FINSH,,,,,,,['CB17-0147'],False,,,30.252207000000002,-85.937722,[0],0.0,0.0
35341-000-000,20669  PANAMA CITY BEACH PKWY   PANAMA CITY BEACH 32413,WAREHOUSE- (004800),12300.0,1.0,1984.0,WAREH MINI,CB STUCCO,MOD METAL,MINIMUM,MASONARY,CONC FINSH,,,,,,,['9512304'],False,,,30.252207000000002,-85.937722,[0],0.0,0.0
35341-000-000,20669  PANAMA CITY BEACH PKWY   PANAMA CITY BEACH 32413,WAREHOUSE- (004800),1588.0,1.0,1984.0,SFR AVERG,PREFAB,MODULAR MT,DRYWALL,,SHT VINYL; CARPET,,,,,,,['9512304'],False,,,30.253665,-85.937157,[0],0.0,0.0
35342-000-000,610  AVENUE C    PANAMA CITY BEACH 32413,WAREHOUSE- (004800),3264.0,1.0,1981.0,WAREH MINI,CORG METAL,STAND SEAM,NONE,WOOD FRAME,CONC FINSH,,,,,,,['9608348'],False,,,30.253665,-85.937157,[0],0.0,0.0
35342-000-000,610  AVENUE C    PANAMA CITY BEACH 32413,WAREHOUSE- (004800),1052.0,1.0,1981.0,WAREH MINI,CORG METAL,STAND SEAM,NONE,WOOD FRAME,CONC FINSH,,,,,,,['9608348'],False,,,30.253665,-85.937157,[0],0.0,0.0
35342-000-000,610  AVENUE C    PANAMA CITY BEACH 32413,WAREHOUSE- (004800),1300.0,1.0,1981.0,WAREH MINI,CORG METAL,STAND SEAM,NONE,WOOD FRAME,CONC FINSH,,,,,,,['9608348'],False,,,30.253665,-85.937157,[0],0.0,0.0
35342-000-000,610  AVENUE C    PANAMA CITY BEACH 32413,WAREHOUSE- (004800),400.0,1.0,1982.0,WAREH MINI,CORG METAL,STAND SEAM,NONE,WOOD FRAME,CONC FINSH,,,,,,,['9608348'],False,,,30.252965000000003,-85.937123,[0],0.0,0.0
35342-050-000,20660  PC BCH PKWY   PANAMA CITY BEACH 32413,REPAIR SER (002500),2079.0,1.0,1986.0,SERV SHOP,CORG METAL,STAND SEAM,MINIMUM,WOOD FRAME,CONC FINSH,,,,,,,['B005'],False,,,30.252965000000003,-85.937123,[0],0.0,0.0
35342-050-000,20660  PC BCH PKWY   PANAMA CITY BEACH 32413,REPAIR SER (002500),682.0,1.0,2001.0,SERV SHOP,CORG METAL,MINIMUM,NONE,WOOD FRAME,CONC FINSH,,,,,,,['B005'],False,,,30.253515999999998,-85.938182,[0],0.0,0.0
35344-000-000,20678  PC BCH PKWY   PANAMA CITY BEACH 32413,WAREHOUSE- (004800),10000.0,1.0,1987.0,WAREH MINI,PREFIN MET,MOD METAL,NONE,STEEL,CONC FINSH,,,,,,,"['CB18-0186', '12-0389', '7174', '93-8036', '19804']",False,,,30.253515999999998,-85.938182,[0],0.0,0.0
35344-000-000,20678  PC BCH PKWY   PANAMA CITY BEACH 32413,WAREHOUSE- (004800),6600.0,1.0,1993.0,WAREH MINI,PREFIN MET,MOD METAL,NONE,STEEL,CONC FINSH,,,,,,,"['CB18-0186', '12-0389', '7174', '93-8036', '19804']",False,,,30.254121,-85.939121,[0],0.0,0.0
35346-000-000,20720  PC BCH PKWY   PANAMA CITY BEACH 32413,"STORES, 1 (001100)",7371.0,1.0,1990.0,PREF M B R,PREFIN MET; ABOVE AVG.,MOD METAL,NONE; DRYWALL,STEEL,CONC FINSH; VINYL PLNK,,,,,,,"['17-0095', '17-0059', '13-1758', '7436', '919377', '20531']",False,,,30.254121,-85.939121,[0],0.0,0.0
35346-000-000,20720  PC BCH PKWY   PANAMA CITY BEACH 32413,"STORES, 1 (001100)",14091.0,1.5,2018.0,WAREH STOR,PREFIN MET; ABOVE AVG.,MOD METAL,MINIMUM,STEEL,CONC FINSH,,,,,,,"['17-0095', '17-0059', '13-1758', '7436', '919377', '20531']",False,,,30.253985999999998,-85.938622,[0],0.0,0.0
35346-001-000,20706  PC BCH PKWY   PANAMA CITY BEACH 32413,WAREHOUSE- (004800),5800.0,1.0,1999.0,WAREH DIST,PREFIN MET,MOD METAL,NONE,STEEL,CONC FINSH,,,,,,,,False,,,30.254253000000002,-85.939674,[0],0.0,0.0
35348-000-000,20734  PC BCH PKWY   PANAMA CITY BEACH 32413,"STORES, 1 (001100)",5500.0,1.0,2002.0,WAREH DIST,PREFIN MET,MOD METAL,NONE,STEEL,CONC FINSH,,,,,,,['B1761'],False,,,30.24223,-85.929828,[0],0.0,0.0
36557-000-000,19932  FRONT BEACH RD   PANAMA CITY BEACH 32413,RESTAURANT (002100),3380.0,1.0,1968.0,RESTAURANT,BD/BATTEN,ENG SHINGL; ROLL COMP,CUST PANEL,MASONARY,TERRAZZO,,,,,,,"['15-0040', '12-0294', '9808385']",False,,,30.243394,-85.932305,[0],0.0,0.0
36563-000-000,19988  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),4261.0,1.5,1955.0,MOTEL LOW,CONC BLOCK; VINYL,BUILT-UP,PLYWOOD,MASONARY,SHT VINYL; CARPET,,,,,,,"['CR19-00020', '17-0013', '15-0146', '15-0022', '9514990', '9512522', '9512092', '9512002', '269']",False,,,30.243394,-85.932305,[0],0.0,0.0
36563-000-000,19988  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),2496.0,1.0,1955.0,MOTEL LOW,CONC BLOCK,BUILT-UP,PLYWOOD,MASONARY,TERRAZZO; CARPET,,,,,,,"['CR19-00020', '17-0013', '15-0146', '15-0022', '9514990', '9512522', '9512092', '9512002', '269']",False,,,30.243394,-85.932305,[0],0.0,0.0
36563-000-000,19988  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),2015.0,1.0,1974.0,MOTEL LOW,CONC BLOCK,BUILT-UP,PLYWOOD,MASONARY,SHT VINYL; CARPET,,,,,,,"['CR19-00020', '17-0013', '15-0146', '15-0022', '9514990', '9512522', '9512092', '9512002', '269']",False,,,30.249968,-85.933072,[0],0.0,0.0
36582-301-000,20303  PC BCH PKWY   PANAMA CITY BEACH 32413,"STORES, 1 (001100)",4240.0,1.0,2005.0,STORE RETL,WD FR STUC; PREFIN MTL,MODULAR MT,DRYWALL,STEEL,CONC FINSH,,,,,,,['0402542'],False,,,30.242748,-85.931943,[0],0.0,0.0
36718-000-000,19979  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),15594.0,2.0,1947.0,RESORT,C B STUCCO,MODULAR MT,DRYWALL,MASONARY,CARPET; HARDTILE,,,,,,,"['18-0017', '7345', '3404', '0522', '13983', '13984', '13985', '10699', '9612087', '20890']",False,,,30.242748,-85.931943,[0],0.0,0.0
36718-000-000,19979  FRONT BEACH RD   PANAMA CITY BEACH 32413,HOTELS AND (003900),3854.0,2.0,1985.0,RESORT,C B STUCCO,BUILT-UP,DRYWALL,MASONARY,CARPET,,,,,,,"['18-0017', '7345', '3404', '0522', '13983', '13984', '13985', '10699', '9612087', '20890']",False,,,30.245742,-85.92268100000001,[0],0.0,0.0
37237-060-000,19618  PANAMA CITY BEACH PKWY   PANAMA CITY BEACH 32413,STORE/OFFI (001200),2592.0,2.0,2014.0,SFR AVERG,ABOVE AVG.,MODULAR MT,DRYWALL,,CLAY TILE; VINYL PLNK,,,,,,,"['14-1064', '14-0567']",False,,,30.243209000000004,-85.917241,[0],0.0,0.0
37238-003-100,502  SANDY LN   PANAMA CITY BEACH 32413,WAREHOUSE- (004800),33625.0,1.0,1983.0,WAREH MINI,PREFIN MET,MOD METAL,NONE,STEEL,CONC FINSH,,,,,,,,False,,,30.244339,-85.919325,[0],0.0,0.0
37238-110-000,19408  PC BCH PKWY   PANAMA CITY BEACH 32413,OFFICE BLD (001700),7545.0,1.0,1999.0,OFFICE LOW,PREFIN MTL; ABOVE AVE,MODULAR MT,DRYWALL,STEEL,CLAY TILE; CARPET,,,,,,,"['13-0124', 'B07-1397', '3536', '5777']",False,,,30.242584,-85.928473,[0],0.0,0.0
37245-040-000,130  LAKE PL   PANAMA CITY BEACH 32413,HOTELS AND (003900),3028.0,2.0,1983.0,MOTEL LOW,WD FR STUC,COMP SHNGL,DRYWALL,MASONARY,SHT VINYL; CARPET,,,,,,,[''],False,,,30.244983,-85.92311,[0],0.0,0.0
37252-000-000,19605  PC BCH PKWY   PANAMA CITY BEACH 32413,"STORES, 1 (001100)",3700.0,1.0,2002.0,STORE RETL,CONC BLOCK,ENG SHINGL; MODULAR MT,DRYWALL,MASONARY,CLAY TILE,,,,,,,"['08-0659', 'B06-1760', 'B1280', 'B1280']",False,,,30.242943,-85.91483199999999,[0],0.0,0.0
37252-020-000,18436  PC BCH PKWY   PANAMA CITY BEACH 32413,WAREHOUSE- (004800),43200.0,1.0,2016.0,CC SLFSTOR,PREFIN MET,MOD METAL; STAND SEAM,MINIMUM,FIREPROOF,CONC FINSH,,,,,,,"['17-2124', '15-0218']",False,,,30.242943,-85.91483199999999,[0],0.0,0.0
37252-020-000,18436  PC BCH PKWY   PANAMA CITY BEACH 32413,WAREHOUSE- (004800),17000.0,1.0,2016.0,WAREH MINI,PREFIN MET,MOD METAL,MINIMUM,FIREPROOF,CONC FINSH,,,,,,,"['17-2124', '15-0218']",False,,,30.242943,-85.91483199999999,[0],0.0,0.0
37252-020-000,18436  PC BCH PKWY   PANAMA CITY BEACH 32413,WAREHOUSE- (004800),8100.0,1.0,2016.0,WAREH MINI,PREFIN MET,MOD METAL,MINIMUM,FIREPROOF,CONC FINSH,,,,,,,"['17-2124', '15-0218']",False,,,30.243409000000003,-85.919843,[0],0.0,0.0
37255-000-000,19407  PC BCH PKWY   PANAMA CITY BEACH 32413,REPAIR SER (002500),2568.0,1.0,2001.0,SERV SHOP,PREFIN MTL,MODULAR MT,WALL BD/WD,STEEL,C ABOVE GD,,,,,,,,False,,,30.243684000000002,-85.920396,[0],0.0,0.0
37255-020-000,19415  PC BCH PKWY   PANAMA CITY BEACH 32413,UTILITIES (009100),240.0,1.0,1988.0,EXCEP COMM,MOD METAL,BUILT-UP,CUST PANEL,FIREPROOF,C ABOVE GD,,,,,,,,False,,,30.237877,-85.919133,[0],0.0,0.0
37263-000-000,19016  FRONT BEACH RD   PANAMA CITY BEACH 32413,CAMPS (003600),980.0,1.0,1970.0,DORMITORY,CONC BLOCK,MODULAR MT,PLYWOOD; DRYWALL,MASONARY,TERRAZZO,,,,,,,"['DIS20-00526', '14-0215', '13-0577', '500592', '500592', '402903', 'RF322', 'B373', 'B2521', '02040', '99-00722', '9611704', '9606337', '9513876', '9510915', '9510916', '93-6031', '932489', '931327', '924086', '918324', '19970', '19971']",True,['ROOF'],['DAMAGED ROOF REPAIR'],30.237877,-85.919133,[1],15.0,2.0
37263-000-000,19016  FRONT BEACH RD   PANAMA CITY BEACH 32413,CAMPS (003600),3788.0,2.0,1980.0,DORMITORY,CB STUCCO,MODULAR MT,MINIMUM; PLYWOOD,MASONARY,CLAY TILE; CARPET,,,,,,,"['DIS20-00526', '14-0215', '13-0577', '500592', '500592', '402903', 'RF322', 'B373', 'B2521', '02040', '99-00722', '9611704', '9606337', '9513876', '9510915', '9510916', '93-6031', '932489', '931327', '924086', '918324', '19970', '19971']",True,['ROOF'],['DAMAGED ROOF REPAIR'],30.237877,-85.919133,[1],15.0,2.0
37263-000-000,19016  FRONT BEACH RD   PANAMA CITY BEACH 32413,CAMPS (003600),476.0,1.0,1952.0,DORMITORY,PREFAB PNL,COMP SHNGL,PLYWOOD,MASONARY,CORK/VTILE,,,,,,,"['DIS20-00526', '14-0215', '13-0577', '500592', '500592', '402903', 'RF322', 'B373', 'B2521', '02040', '99-00722', '9611704', '9606337', '9513876', '9510915', '9510916', '93-6031', '932489', '931327', '924086', '918324', '19970', '19971']",True,['ROOF'],['DAMAGED ROOF REPAIR'],30.237877,-85.919133,[1],15.0,2.0
37263-000-000,19016  FRONT BEACH RD   PANAMA CITY BEACH 32413,CAMPS (003600),448.0,1.0,1952.0,DORMITORY,CONC BLOCK,COMP SHNGL,MINIMUM; PLYWOOD,MASONARY,SHT VINYL,,,,,,,"['DIS20-00526', '14-0215', '13-0577', '500592', '500592', '402903', 'RF322', 'B373', 'B2521', '02040', '99-00722', '9611704', '9606337', '9513876', '9510915', '9510916', '93-6031', '932489', '931327', '924086', '918324', '19970', '19971']",True,['ROOF'],['DAMAGED ROOF REPAIR'],30.237877,-85.919133,[1],15.0,2.0
37263-000-000,19016  FRONT BEACH RD   PANAMA CITY BEACH 32413,CAMPS (003600),3283.0,1.0,1980.0,DORMITORY,CONC BLOCK,MODULAR MT,MINIMUM; PLYWOOD,MASONARY,CONC FINSH,,,,,,,"['DIS20-00526', '14-0215', '13-0577', '500592', '500592', '402903', 'RF322', 'B373', 'B2521', '02040', '99-00722', '9611704', '9606337', '9513876', '9510915', '9510916', '93-6031', '932489', '931327', '924086', '918324', '19970', '19971']",True,['ROOF'],['DAMAGED ROOF REPAIR'],30.237877,-85.919133,[1],15.0,2.0
37263-000-000,19016  FRONT BEACH RD   PANAMA CITY BEACH 32413,CAMPS (003600),414.0,1.0,1952.0,DORMITORY,CONC BLOCK,MODULAR MT,MINIMUM; PLYWOOD,MASONARY,CORK/VTILE,,,,,,,"['DIS20-00526', '14-0215', '13-0577', '500592', '500592', '402903', 'RF322', 'B373', 'B2521', '02040', '99-00722', '9611704', '9606337', '9513876', '9510915', '9510916', '93-6031', '932489', '931327', '924086', '918324', '19970', '19971']",True,['ROOF'],['DAMAGED ROOF REPAIR'],30.237877,-85.919133,[1],15.0,2.0
37263-000-000,19016  FRONT BEACH RD   PANAMA CITY BEACH 32413,CAMPS (003600),1864.0,1.0,1954.0,DORMITORY,CB STUCCO,COMP SHNGL,DRYWALL,MASONARY,CARPET; CLAY TILE,,,,,,,"['DIS20-00526', '14-0215', '13-0577', '500592', '500592', '402903', 'RF322', 'B373', 'B2521', '02040', '99-00722', '9611704', '9606337', '9513876', '9510915', '9510916', '93-6031', '932489', '931327', '924086', '918324', '19970', '19971']",True,['ROOF'],['DAMAGED ROOF REPAIR'],30.237877,-85.919133,[1],15.0,2.0
37263-000-000,19016  FRONT BEACH RD   PANAMA CITY BEACH 32413,CAMPS (003600),480.0,1.0,1952.0,DORMITORY,CONC BLOCK,MODULAR MT,MINIMUM; PLYWOOD,MASONARY,SHT VINYL,,,,,,,"['DIS20-00526', '14-0215', '13-0577', '500592', '500592', '402903', 'RF322', 'B373', 'B2521', '02040', '99-00722', '9611704', '9606337', '9513876', '9510915', '9510916', '93-6031', '932489', '931327', '924086', '918324', '19970', '19971']",True,['ROOF'],['DAMAGED ROOF REPAIR'],30.237877,-85.919133,[1],15.0,2.0
