Height in ft,B,C,D
9,1.0,0.8096526861093863,1.427832145713595
10,1.0,0.8096526861093863,1.427832145713595
11,1.0,0.8096526861093863,1.427832145713595
12,1.0,0.8096526861093863,1.427832145713595
13,1.0,0.8096526861093863,1.427832145713595
14,1.0,0.8096526861093863,1.427832145713595
15,1.0,0.8096526861093863,1.427832145713595
16,1.0,0.7975104433496458,1.4019839981256523
17,1.0,0.786128537161024,1.3778630587745613
18,1.0,0.7754190405117015,1.3552630533528538
19,1.0,0.7653083835634494,1.3340120958090318
20,1.0,0.7557343938786326,1.3139654916145451
21,1.0,0.7466440614582387,1.2950003240986818
22,1.0,0.7379918256175022,1.2770113197723019
23,1.0,0.7297382440623542,1.259907647127486
24,1.0,0.7218489462533897,1.2436104074616012
25,1.0,0.7142938012040905,1.2280506460268192
26,1.0,0.707046249092238,1.2131677594636385
27,1.0,0.700082759473885,1.198908208607846
28,1.0,0.6933823883881771,1.1852244691599294
29,1.0,0.6869264134668733,1.1720741694733827
30,1.0,0.6806980311323053,1.159419376894592
31,1.0,0.6746821036305441,1.147226003038346
32,1.0,0.6688649463769537,1.1354633050388132
33,1.0,0.6632341481480124,1.1241034648172863
34,1.0,0.6577784182176111,1.1131212322033406
35,1.0,0.6524874557367534,1.1024936206526288
36,1.0,0.647351837585093,1.0921996465497317
37,1.0,0.6423629216479966,1.0822201048326092
38,1.0,0.6375127630430276,1.0725373750467355
39,1.0,0.6327940412711754,1.0631352530207552
40,1.0,0.6281999966279072,1.0539988042174222
41,1.0,0.6237243744977146,1.0451142355037175
42,1.0,0.6193613763885711,1.0364687826396621
43,1.0,0.6151056167516232,1.0280506112353758
44,1.0,0.6109520847854572,1.0198487292923875
45,1.0,0.6068961105506163,1.0118529097450406
46,1.0,0.6029333348240316,1.0040536216644822
47,1.0,0.5990596822091604,0.9964419689914662
48,1.0,0.5952713370891711,0.9890096358332969
49,1.0,0.5915647220702297,0.9817488375011327
50,1.0,0.5879364786120165,0.9746522765817796
51,1.0,0.5843834495846895,0.9677131034371285
52,1.0,0.5809026635270632,0.9609248806078868
53,1.0,0.5774913204108858,0.9542815506688668
54,1.0,0.5741467787417064,0.9477774071430684
55,1.0,0.5708665438486537,0.9414070681328575
56,1.0,0.5676482572341324,0.9351654523701705
57,1.0,0.564489686870465,0.9290477574250379
58,1.0,0.5613887183443149,0.923049439843897
59,1.0,0.55834334676161,0.9171661970168028
60,1.0,0.5553516693359921,0.9113939505965835
