Height in ft,B,C,D
9,0.0,0.5508923854652406,0.8822064029942729
10,0.0,0.5508923854652406,0.8822064029942729
11,0.0,0.5508923854652406,0.8822064029942729
12,0.0,0.5508923854652406,0.8822064029942729
13,0.0,0.5508923854652406,0.8822064029942729
14,0.0,0.5508923854652406,0.8822064029942729
15,0.0,0.5508923854652406,0.8822064029942729
16,0.0,0.5433848784448437,0.8686742467305388
17,0.0,0.5363657658575902,0.8560513712189449
18,0.0,0.5297772094915728,0.8442283117210242
19,0.0,0.5235709754846846,0.8331139783985076
20,0.0,0.5177064287232386,0.8226317885260265
21,0.0,0.512149023492311,0.8127167617245781
22,0.0,0.5068691502044728,0.8033133048032959
23,0.0,0.5018412421027708,0.7943734991255824
24,0.0,0.4970430747605803,0.7858557599714268
25,0.0,0.4924552105945524,0.777723775215387
26,0.0,0.4880605538602308,0.7699456564590993
27,0.0,0.48384399081552054,0.7624932536806638
28,0.0,0.4797920962474696,0.7553415971049735
29,0.0,0.47589289222405334,0.7484684390461814
30,0.0,0.4721356483219773,0.7418538750352832
31,0.0,0.46851071507382475,0.7354800283642179
32,0.0,0.46500938423148785,0.7293307857566195
33,0.0,0.4616237708360989,0.7233915745618249
34,0.0,0.45834671314217135,0.7176491739052417
35,0.0,0.45517168725382434,0.7120915537864276
36,0.0,0.452092733956836,0.7067077373186562
37,0.0,0.44910439571780075,0.7014876822392718
38,0.0,0.44620166220421703,0.6964221785534436
39,0.0,0.4433799229817088,0.6915027597529073
40,0.0,0.4406349262851497,0.6867216255114432
41,0.0,0.43796274295308946,0.6820715741269432
42,0.0,0.43535973477006285,0.6775459432761121
43,0.0,0.4328225265870306,0.6731385578876017
44,0.0,0.4303479816926121,0.6688436841343912
45,0.0,0.427933179991535,0.6646559887058107
46,0.0,0.4255753986156886,0.6605705026506737
47,0.0,0.4232720946501405,0.6565825891912924
48,0.0,0.42102088970375334,0.6526879149979039
49,0.0,0.4188195560934651,0.6488824244878398
50,0.0,0.41666600444429525,0.6451623167763157
51,0.0,0.4145582725348465,0.6415240249581957
52,0.0,0.4124945152414569,0.6379641974443602
53,0.0,0.41047299545392846,0.6344796811136799
54,0.0,0.40849207585256714,0.6310675060733747
55,0.0,0.4065502114505571,0.6277248718475213
56,0.0,0.40464594281795246,0.6244491348365813
57,0.0,0.40277788991401964,0.6212377969105731
58,0.0,0.40094474646368056,0.6180884950154696
59,0.0,0.39914527482159734,0.6149989916870685
60,0.0,0.397378301274109,0.6119671663791818
